CountryName,HDSS,CentreId
Burkina Faso,nanoro,BF021
Burkina Faso,nouna,BF031
Burkina Faso,ouagadougou,BF041
Cote d'Ivoire,taabo,CI011
Ethiopia,gilgel-gibe,ET021
Ethiopia,kilite-awlaelo,ET031
Ethiopia,kersa,ET041
Ethiopia,harar,ET042
Ethiopia,dabat,ET051
Ethiopia,arba-minch,ET061
Ghana,navrongo,GH011
Ghana,kintampo,GH021
Ghana,dodowa,GH031
Gambia,farafenni,GM011
Kenya,nairobi,KE031
Kenya,mbita,KE041
Kenya,kombewa,KE051
Malawi,karonga,MW011
Mozambique,chokwe,MZ021
Nigeria,cross-river,NG021
Nigeria,nahuche,NG011
Senegal,bandafassi,SN011
Senegal,mlomp,SN012
Senegal,niakhar,SN013
Tanzania,ifakara,TZ011
Tanzania,rufiji,TZ012
Tanzania,magu,TZ021
Uganda,iganga-mayuge,UG011
South Africa,agincourt,ZA011
South Africa,dikgale,ZA021
South Africa,ahri,ZA031
